Issue,customfield_10731,customfield_10120,customfield_10121,customfield_10630,customfield_10122,customfield_10830,customfield_10123,customfield_10100,customfield_10126
IMPORT-455,1126572238094,mpv,MPV,MPV02,34801,MPV_batch2,MPVSP_MPV_00011,00011,
IMPORT-454,1126572238093,mpv,MPV,MPV02,34800,MPV_batch2,MPVSP_MPV_00010,00010,
IMPORT-453,1126572238084,mpv,MPV,MPV02,34798,MPV_batch2,MPVSP_MPV_00008,00008,
IMPORT-452,1126572238083,mpv,MPV,MPV02,34797,MPV_batch2,MPVSP_MPV_00007,00007,
IMPORT-451,1126572238082,mpv,MPV,MPV02,34796,MPV_batch1,MPVSP_MPV_00006,00006,
IMPORT-450,1126572238081,mpv,MPV,MPV02,34795,MPV_batch1,MPVSP_MPV_00005,00005,
IMPORT-449,1132506183860,hadv,HADV,HADV06,40397,HADV_batch5,HADSP_HADV_00100,00100,
IMPORT-448,1132506183859,hadv,HADV,HADV06,40396,,HADSP_HADV_00099,00099,
IMPORT-447,1132506183858,hadv,HADV,HADV06,40395,HADV_batch5,HADSP_HADV_00098,00098,
IMPORT-446,1132506183857,hadv,HADV,HADV06,40394,,HADSP_HADV_00097,00097,
IMPORT-445,1132506183856,hadv,HADV,HADV06,40393,,HADSP_HADV_00096,00096,
IMPORT-444,1132506183855,hadv,HADV,HADV06,40392,,HADSP_HADV_00095,00095,
IMPORT-443,1132506183854,hadv,HADV,HADV06,40391,,HADSP_HADV_00094,00094,
IMPORT-442,1132506183853,hadv,HADV,HADV06,40390,HADV_batch5,HADSP_HADV_00093,00093,
IMPORT-441,1132506183852,hadv,HADV,HADV06,40389,,HADSP_HADV_00092,00092,
IMPORT-440,1132506183851,hadv,HADV,HADV06,40388,,HADSP_HADV_00091,00091,
IMPORT-439,1132506183850,hadv,HADV,HADV06,40387,,HADSP_HADV_00090,00090,
IMPORT-438,1132506183849,hadv,HADV,HADV06,40386,,HADSP_HADV_00089,00089,
IMPORT-437,1132506183848,hadv,HADV,HADV06,40385,,HADSP_HADV_00088,00088,
IMPORT-436,1132506183847,hadv,HADV,HADV06,40384,,HADSP_HADV_00087,00087,
IMPORT-435,1132506183846,hadv,HADV,HADV06,40383,HADV_batch5,HADSP_HADV_00086,00086,
IMPORT-434,1132506183845,hadv,HADV,HADV06,40382,HADV_batch5,HADSP_HADV_00085,00085,
IMPORT-433,1132506183844,hadv,HADV,HADV06,40381,,HADSP_HADV_00084,00084,
IMPORT-432,1132506183843,hadv,HADV,HADV06,40380,,HADSP_HADV_00083,00083,
IMPORT-431,1132506183842,hadv,HADV,HADV06,40379,HADV_batch5,HADSP_HADV_00082,00082,
IMPORT-430,1132506183841,hadv,HADV,HADV06,40378,,HADSP_HADV_00081,00081,
IMPORT-429,1132506183840,hadv,HADV,HADV06,40377,HADV_batch5,HADSP_HADV_00080,00080,
IMPORT-428,1132333442759,hadv,HADV,HADV05,39486,HADV_batch5,HADSP_HADV_00079,00079,
IMPORT-427,1132333442758,hadv,HADV,HADV05,39485,HADV_batch5,HADSP_HADV_00078,00078,
IMPORT-426,1132333442757,hadv,HADV,HADV05,39484,,HADSP_HADV_00077,00077,
IMPORT-425,1132333442756,hadv,HADV,HADV05,39483,HADV_batch5,HADSP_HADV_00076,00076,
IMPORT-424,1132333442755,hadv,HADV,HADV05,39482,HADV_batch5,HADSP_HADV_00075,00075,
IMPORT-423,1132333442754,hadv,HADV,HADV05,39481,HADV_batch5,HADSP_HADV_00074,00074,
IMPORT-422,1132333442742,hadv,HADV,HADV05,39469,HADV_batch5,HADSP_HADV_00062,00062,
IMPORT-421,1132333442737,hadv,HADV,HADV05,39464,HADV_batch5,HADSP_HADV_00057,00057,
IMPORT-420,1129990130374,hadv,HADV,HADV04,37083,,HADSP_HADV_00050,00050,
IMPORT-419,1129990130373,hadv,HADV,HADV04,37082,HADV_batch4,HADSP_HADV_00049,00049,
IMPORT-418,1129990130372,hadv,HADV,HADV04,37081,HADV_batch2,HADSP_HADV_00048,00048,
IMPORT-417,1129990130371,hadv,HADV,HADV04,37080,HADV_batch2,HADSP_HADV_00047,00047,
IMPORT-416,1129990130370,hadv,HADV,HADV04,37079,HADV_batch2,HADSP_HADV_00046,00046,
IMPORT-415,1129990130369,hadv,HADV,HADV04,37078,HADV_batch2,HADSP_HADV_00045,00045,
IMPORT-414,1129990130368,hadv,HADV,HADV04,37077,HADV_batch2,HADSP_HADV_00044,00044,
IMPORT-413,1129990130367,hadv,HADV,HADV04,37076,HADV_batch2,HADSP_HADV_00043,00043,
IMPORT-412,1129990130366,hadv,HADV,HADV04,37075,HADV_batch2,HADSP_HADV_00042,00042,
IMPORT-411,1126932851960,hadv,HADV,HADV02,34952,HADV_batch4,HADSP_HADV_00031,00031,
IMPORT-410,1126932851958,hadv,HADV,HADV02,34950,HADV_batch2,HADSP_HADV_00029,00029,
IMPORT-409,1126932851957,hadv,HADV,HADV02,34949,HADV_batch4,HADSP_HADV_00028,00028,
IMPORT-408,1126932851956,hadv,HADV,HADV02,34948,HADV_batch2,HADSP_HADV_00027,00027,
IMPORT-407,1126932851955,hadv,HADV,HADV02,34947,,HADSP_HADV_00026,00026,
IMPORT-406,1126932851954,hadv,HADV,HADV02,34946,HADV_batch4,HADSP_HADV_00025,00025,
IMPORT-405,1126932851953,hadv,HADV,HADV02,34945,,HADSP_HADV_00024,00024,
IMPORT-404,1126932851952,hadv,HADV,HADV02,34944,HADV_batch2,HADSP_HADV_00023,00023,
IMPORT-403,1126932851951,hadv,HADV,HADV02,34943,HADV_batch2,HADSP_HADV_00022,00022,
IMPORT-402,1126932851950,hadv,HADV,HADV02,34942,HADV_batch2,HADSP_HADV_00021,00021,
IMPORT-401,1126932851949,hadv,HADV,HADV02,34941,HADV_batch2,HADSP_HADV_00020,00020,
IMPORT-400,1126932851948,hadv,HADV,HADV02,34940,HADV_batch2,HADSP_HADV_00019,00019,
IMPORT-399,1126932851947,hadv,HADV,HADV02,34939,HADV_batch4,HADSP_HADV_00018,00018,
IMPORT-398,1126932851946,hadv,HADV,HADV02,34938,HADV_batch2,HADSP_HADV_00017,00017,
IMPORT-397,1126932851945,hadv,HADV,HADV02,34937,HADV_batch2,HADSP_HADV_00016,00016,
IMPORT-396,1126932851944,hadv,HADV,HADV02,34936,HADV_batch2,HADSP_HADV_00015,00015,
IMPORT-395,1126932851943,hadv,HADV,HADV02,34935,HADV_batch2,HADSP_HADV_00014,00014,
IMPORT-394,1126932851942,hadv,HADV,HADV02,34934,HADV_batch4,HADSP_HADV_00013,00013,
IMPORT-393,1126932851941,hadv,HADV,HADV02,34933,HADV_batch2,HADSP_HADV_00012,00012,
IMPORT-392,1126932851940,hadv,HADV,HADV02,34932,,HADSP_HADV_00011,00011,
IMPORT-368,1130777808991,giv,DOA,DOA01,37988,,NIGSP_DOA_00018,00018,H3N2
IMPORT-367,1128693778600,gcv,PRGSC,ROTTIER07,35873,,TCVSP_ROTTIER_00088,00088,
IMPORT-366,1128693778580,gcv,PRGSC,ROTTIER07,35872,,TCVSP_ROTTIER_00087,00087,
IMPORT-365,1128693778579,gcv,PRGSC,ROTTIER07,35871,,TCVSP_ROTTIER_00086,00086,
IMPORT-364,1128693778578,gcv,PRGSC,ROTTIER07,35870,,TCVSP_ROTTIER_00085,00085,
IMPORT-363,1128693778577,gcv,PRGSC,ROTTIER07,35869,,TCVSP_ROTTIER_00084,00084,
IMPORT-362,1128693778576,gcv,PRGSC,ROTTIER07,35868,,TCVSP_ROTTIER_00083,00083,
IMPORT-361,1128693778556,gcv,PRGSC,ROTTIER07,35867,,TCVSP_ROTTIER_00082,00082,
IMPORT-360,1128693778536,gcv,PRGSC,ROTTIER07,35866,,TCVSP_ROTTIER_00081,00081,
IMPORT-359,1128693778535,gcv,PRGSC,ROTTIER07,35865,,TCVSP_ROTTIER_00080,00080,
IMPORT-358,1128693778534,gcv,PRGSC,ROTTIER07,35864,,TCVSP_ROTTIER_00079,00079,
IMPORT-357,1128693778533,gcv,PRGSC,ROTTIER07,35863,,TCVSP_ROTTIER_00078,00078,
IMPORT-356,1128693778532,gcv,PRGSC,ROTTIER07,35862,,TCVSP_ROTTIER_00077,00077,
